date,Donald Trump,Hillary Clinton,Jill Stein,Tim Kaine,Mike Pence,Gary Johnson
2014-01-01,0,0,0,0,0,0
2014-02-01,365,3,5,95,0,21
2014-03-01,308,7,5,83,0,65
2014-04-01,400,6,6,99,0,61
2014-05-01,525,7,4,119,0,75
2014-06-01,404,7,1,85,0,58
2014-07-01,747,6,0,101,0,14
2014-08-01,490,8,0,115,0,9
2014-09-01,339,2,0,42,0,9
2014-10-01,507,5,4,81,1,51
2014-11-01,623,6,14,49,5,4
2014-12-01,575,6,7,68,43,53
2015-01-01,720,2,1,94,7,4
2015-02-01,1142,6,21,106,10,8
2015-03-01,506,5,19,89,80,7
2015-04-01,445,16,12,105,38,3
2015-05-01,779,101,24,97,35,7
2015-06-01,717,171,6,149,71,3
2015-07-01,534,276,25,151,103,0
2015-08-01,796,250,65,146,120,1
2015-09-01,365,206,11,78,47,0
2015-10-01,427,252,13,144,39,0
2015-11-01,796,416,34,121,57,5
2015-12-01,589,288,20,97,37,1
2016-01-01,622,246,20,102,8,0
2016-02-01,477,380,26,68,46,24
2016-03-01,474,515,173,127,20,53
2016-04-01,420,468,481,103,44,82
2016-05-01,272,362,587,104,108,68
2016-06-01,343,309,505,87,114,132
2016-07-01,292,426,490,111,77,125
2016-08-01,353,772,729,87,94,127
2016-09-01,272,410,567,95,101,184
2016-10-01,265,613,880,97,148,231
2016-11-01,469,717,960,143,200,220
2016-12-01,179,271,449,57,109,66
2017-01-01,131,1,295,48,48,0
